"cond_id","K","dist","beta_x","J","n_j","ICC","N_total","method","n_ok","n_total","conv_rate","mean_bx","median_bx","bias","bias_mcse","rel_bias","rmse","mae","emp_se","mean_model_se","median_model_se","se_ratio","mean_ci_width","coverage","cov_mcse","rej_rate","rej_mcse","rel_efficiency"
582,7,"skewed",0.2,20,10,0.3,200,"LCP",1000,1000,1,0.196962029016141,0.197679902778983,-0.0030379709838593,0.00247502012052562,-0.0151898549192965,0.078286832482279,0.0625486956254733,0.0782670083560541,0.0769145699827837,0.0769305326810856,0.982720198437662,0.30347745679976,0.948,0.00702111102319284,0.728,0.0140718158032288,1.05201088726067
582,7,"skewed",0.2,20,10,0.3,200,"IC",1000,1000,1,0.232580058404081,0.23137082038652,0.0325800584040809,0.00232888071828946,0.162900292020405,0.0804967199346267,0.0649023779664141,0.0736456746864364,0.0741866842079125,0.0742149124024347,1.00734611399488,0.292716548823003,0.937,0.00768316341099159,0.873,0.0105295299040366,1.08170714122543
583,3,"polarized",0.2,20,10,0.3,200,"Oracle",1000,1000,1,0.197157128632751,0.199191737614203,-0.00284287136724887,0.00229082678649606,-0.0142143568362443,0.0724618616651053,0.0579876964824435,0.0724423037025181,0.0738922501841976,0.0736181539206894,1.02001519012473,0.291553353222519,0.957,0.00641490451994416,0.748,0.013729384545565,1
583,3,"polarized",0.2,20,10,0.3,200,"Naive",1000,1000,1,0.176036015235995,0.175822306241552,-0.0239639847640053,0.00230927416535918,-0.119819923820026,0.076822438059424,0.0615732539213554,0.0730256610431933,0.0738504291945943,0.0738297786809194,1.01129422369642,0.291388220764776,0.941,0.00745110730026082,0.666,0.0149145566477854,1.06017753745373
583,3,"polarized",0.2,20,10,0.3,200,"Dummy",1000,1000,1,0.192424777490604,0.192925235592863,-0.00757522250939552,0.00223973771538476,-0.0378761125469776,0.0711954535398859,0.0571266600975741,0.0708267254199778,0.0736595432758313,0.073556870825706,1.0399964538676,0.290635033475928,0.96,0.00619677335393187,0.74,0.0138708327075198,0.982523108072046
583,3,"polarized",0.2,20,10,0.3,200,"Isotonic",1000,1000,1,0.190506774429966,0.191767070242145,-0.00949322557003437,0.00228357561562945,-0.0474661278501719,0.072798517886209,0.0580582703875955,0.0722130015461027,0.0736455494172885,0.0734937463053989,1.0198378109276,0.290580504804147,0.955,0.00655553201502365,0.73,0.0140392307481571,1.00464597808237
583,3,"polarized",0.2,20,10,0.3,200,"PenOrd",1000,1000,1,0.192063987303454,0.192827838089328,-0.00793601269654559,0.00224546026389579,-0.039680063482728,0.0714144943443413,0.0572961144154023,0.0710076882931346,0.0736531798495885,0.0735260171126292,1.03725641011622,0.29061018136684,0.959,0.00627048642451286,0.739,0.0138880884213775,0.985545950701562
583,3,"polarized",0.2,20,10,0.3,200,"PolyCor",1000,1000,1,0.196580372229658,0.196341722237383,-0.0034196277703416,0.00257877897541627,-0.017098138851708,0.0815790705826725,0.0651516033053377,0.0815481514447079,0.0824691745091542,0.0824461139686194,1.01129422369642,0.32539480528735,0.954,0.00662449998113065,0.666,0.0149145566477854,1.12582079328439
583,3,"polarized",0.2,20,10,0.3,200,"LCP",1000,1000,1,0.195597470364967,0.195360013626649,-0.00440252963503282,0.00256588508042087,-0.0220126481751641,0.0812192387730137,0.0648753945253435,0.0811404106837425,0.0820568286396833,0.082033883398839,1.01129422378095,0.323767831273134,0.954,0.00662449998113065,0.666,0.0149145566477854,1.12085498366551
583,3,"polarized",0.2,20,10,0.3,200,"IC",1000,1000,1,0.204739500766071,0.206084344682566,0.00473950076607124,0.00245308702343598,0.0236975038303562,0.0776793484532216,0.0621409193692085,0.0775734229266054,0.079127307501837,0.0789635095518632,1.02003114619168,0.312209668448032,0.959,0.00627048642451286,0.73,0.0140392307481571,1.07200321201006
